PacketID;ImageName;GroundDate;GroundTime;GroundLat;GroundLon;TempC;RH;AbsHumidity;CO2ppm;GroundGPSValid;DroneDate;DroneTime;DroneLat;DroneLon
178;NO_IMAGE;05/04/2026;15:03:42;26.298.893;50.148.941;23.35;50.77;10.65;345;1;05/04/2026;15:03:41;0.000000;0.000000
181;NO_IMAGE;05/04/2026;15:03:51;26.298.893;50.148.926;23.45;50.22;10.59;345;1;05/04/2026;15:03:50;26.298.840;50.148.933
184;NO_IMAGE;05/04/2026;15:03:57;26.298.885;50.148.914;23.42;50.25;10.58;340;1;05/04/2026;15:03:50;26.298.840;50.148.933
186;NO_IMAGE;05/04/2026;15:04:07;0.050000;50.148.926;23.42;50.44;10.62;340;1;05/04/2026;15:03:59;26.298.899;50.148.891
189;NO_IMAGE;05/04/2026;15:04:16;26.298.834;50.149.010;23.35;50.27;10.54;340;1;05/04/2026;15:04:07;26.298.889;50.148.899
192;NO_IMAGE;05/04/2026;15:04:25;26.298.889;50.148.838;23.38;50.42;10.59;340;1;05/04/2026;15:04:15;26.298.855;50.148.888
192;ets Jul 29 2019 12:21:46;05/04/2026;15:04:25;26.298.889;50.148.838;23.38;50.42;10.59;340;1;05/04/2026;15:04:23;26.298.862;50.148.922
193;E (1556) i2c.master: I2C hardware timeout detected;05/04/2026;15:04:28;26.298.887;50.148.693;23.41;50.44;10.61;340;1;05/04/2026;15:04:23;26.298.862;50.148.922
194;/img_2.jpg;05/04/2026;15:04:31;26.298.904;50.148.888;23.42;50.40;10.61;339;1;05/04/2026;15:04:36;26.298.870;50.148.956
195;/img_3.jpg;05/04/2026;15:04:34;26.298.901;50.148.933;23.45;50.36;10.62;339;1;05/04/2026;15:04:39;26.298.878;50.148.960
196;/img_4.jpg;05/04/2026;15:04:37;26.298.918;50.148.922;23.41;50.37;10.60;339;1;05/04/2026;15:04:43;26.298.878;50.148.960
197;/img_5.jpg;05/04/2026;15:04:40;26.298.923;50.148.911;23.41;50.28;10.58;339;1;05/04/2026;15:04:46;26.298.878;50.148.960
198;/img_6.jpg;05/04/2026;15:04:43;26.298.918;50.148.884;23.41;50.30;10.58;339;1;05/04/2026;15:04:49;26.298.878;50.148.960
199;/img_7.jpg;05/04/2026;15:04:46;26.298.910;50.148.869;23.38;50.30;10.57;339;1;05/04/2026;15:04:52;26.298.878;50.148.960
200;/img_8.jpg;05/04/2026;15:04:46;26.298.910;50.148.869;23.41;50.40;10.60;339;1;05/04/2026;15:04:55;26.298.878;50.148.960
201;/img_9.jpg;05/04/2026;15:04:46;26.298.910;50.148.869;23.37;50.41;10.58;339;1;05/04/2026;15:04:58;26.298.878;50.148.960
202;/img_10.jpg;05/04/2026;15:04:56;26.298.952;50.149.094;23.34;50.49;10.58;339;1;05/04/2026;15:05:01;26.298.878;50.148.960
203;/img_11.jpg;05/04/2026;15:04:59;26.298.956;50.149.117;23.34;50.56;10.60;339;1;05/04/2026;15:05:04;26.298.878;50.148.960
204;/img_12.jpg;05/04/2026;15:05:02;26.298.954;50.149.124;23.31;50.61;10.59;339;1;05/04/2026;15:05:07;26.298.878;50.148.960
205;/img_13.jpg;05/04/2026;15:05:05;26.298.941;50.149.166;23.29;50.71;10.60;339;1;05/04/2026;15:05:10;26.298.878;50.148.960
206;/img_14.jpg;05/04/2026;15:05:08;26.298.922;50.149.174;23.34;50.67;10.62;339;1;05/04/2026;15:05:13;26.298.878;50.148.960
207;/img_15.jpg;05/04/2026;15:05:11;26.298.887;50.149.158;23.32;50.63;10.60;339;1;05/04/2026;15:05:16;26.298.878;50.148.960
208;/img_16.jpg;05/04/2026;15:05:14;26.298.883;50.149.162;23.34;50.69;10.62;343;1;05/04/2026;15:05:19;26.298.878;50.148.960
209;/img_17.jpg;05/04/2026;15:05:17;26.298.855;50.149.117;23.39;50.75;10.67;344;1;05/04/2026;15:05:22;26.298.878;50.148.960
210;/img_18.jpg;05/04/2026;15:05:20;26.298.817;50.149.040;23.38;50.77;10.66;344;1;05/04/2026;15:05:25;26.298.878;50.148.960
211;/img_19.jpg;05/04/2026;15:05:23;26.298.834;50.149.109;23.42;50.71;10.68;344;1;05/04/2026;15:05:28;26.298.878;50.148.960
212;/img_20.jpg;05/04/2026;15:05:26;26.298.859;50.149.147;23.41;50.61;10.65;344;1;05/04/2026;15:05:31;26.298.878;50.148.960
213;/img_21.jpg;05/04/2026;15:05:29;26.298.878;50.149.170;23.45;50.76;10.71;344;1;05/04/2026;15:05:35;26.298.878;50.148.960
214;/img_22.jpg;05/04/2026;15:05:35;26.298.948;50.149.261;23.43;50.76;10.69;344;1;05/04/2026;15:05:38;26.298.878;50.148.960
215;/img_23.jpg;05/04/2026;15:05:35;26.298.948;50.149.261;23.42;50.95;10.73;344;1;05/04/2026;15:05:41;26.298.878;50.148.960
216;/img_24.jpg;05/04/2026;15:05:38;26.298.964;50.149.250;23.42;50.95;10.73;344;1;05/04/2026;15:05:44;26.298.878;50.148.960
217;/img_25.jpg;05/04/2026;15:05:38;26.298.964;50.149.250;23.41;51.04;10.74;344;1;05/04/2026;15:05:47;26.298.878;50.148.960
218;/img_26.jpg;05/04/2026;15:05:38;26.298.964;50.149.250;23.39;51.17;10.75;344;1;05/04/2026;15:05:50;26.298.878;50.148.960
219;/img_27.jpg;05/04/2026;15:05:48;26.299.002;50.149.124;23.42;51.08;10.75;344;1;05/04/2026;15:05:53;26.298.878;50.148.960
220;/img_28.jpg;05/04/2026;15:05:51;26.299.011;50.149.094;23.41;51.37;10.81;344;1;05/04/2026;15:05:56;26.298.878;50.148.960
221;/img_29.jpg;05/04/2026;15:05:54;26.299.017;50.149.055;23.46;51.28;10.82;344;1;05/04/2026;15:05:59;26.298.878;50.148.960
222;/img_30.jpg;05/04/2026;15:05:57;26.299.011;50.149.033;23.48;51.21;10.82;344;1;05/04/2026;15:06:02;26.298.878;50.148.960
223;/img_31.jpg;05/04/2026;15:06:00;26.299.006;50.149.025;23.48;50.94;10.76;344;1;05/04/2026;15:06:05;26.298.878;50.148.960
224;/img_32.jpg;05/04/2026;15:06:03;26.298.985;50.149.010;23.52;50.69;10.73;344;1;05/04/2026;15:06:08;26.298.878;50.148.960
225;/img_33.jpg;05/04/2026;15:06:06;26.298.979;50.149.002;23.53;50.41;10.68;344;1;05/04/2026;15:06:11;26.298.878;50.148.960
